,antecedents,consequents
300,frozenset({2100794}),frozenset({88411})
301,frozenset({88411}),frozenset({2100794})
302,frozenset({88411}),frozenset({3216486})
303,frozenset({3216486}),frozenset({88411})
304,frozenset({88411}),frozenset({3336149})
305,frozenset({3336149}),frozenset({88411})
306,frozenset({15021864}),frozenset({88411})
307,frozenset({88411}),frozenset({15021864})
308,frozenset({88411}),frozenset({15021876})
309,frozenset({15021876}),frozenset({88411})
310,frozenset({88443}),frozenset({88623})
311,frozenset({88623}),frozenset({88443})
312,frozenset({88443}),frozenset({88676})
313,frozenset({88676}),frozenset({88443})
314,frozenset({88443}),frozenset({135493})
315,frozenset({135493}),frozenset({88443})
316,frozenset({88443}),frozenset({135789})
317,frozenset({135789}),frozenset({88443})
318,frozenset({88622}),frozenset({88623})
319,frozenset({88623}),frozenset({88622})
320,frozenset({88675}),frozenset({88622})
321,frozenset({88622}),frozenset({88675})
322,frozenset({88676}),frozenset({88622})
323,frozenset({88622}),frozenset({88676})
324,frozenset({135492}),frozenset({88622})
325,frozenset({88622}),frozenset({135492})
326,frozenset({135493}),frozenset({88622})
327,frozenset({88622}),frozenset({135493})
328,frozenset({88622}),frozenset({135494})
329,frozenset({135494}),frozenset({88622})
330,frozenset({88622}),frozenset({135495})
331,frozenset({135495}),frozenset({88622})
332,frozenset({3336149}),frozenset({88622})
333,frozenset({88622}),frozenset({3336149})
334,frozenset({88675}),frozenset({88623})
335,frozenset({88623}),frozenset({88675})
336,frozenset({88676}),frozenset({88623})
337,frozenset({88623}),frozenset({88676})
338,frozenset({135492}),frozenset({88623})
339,frozenset({88623}),frozenset({135492})
340,frozenset({135493}),frozenset({88623})
341,frozenset({88623}),frozenset({135493})
342,frozenset({135494}),frozenset({88623})
343,frozenset({88623}),frozenset({135494})
344,frozenset({88623}),frozenset({135495})
345,frozenset({135495}),frozenset({88623})
346,frozenset({135505}),frozenset({88623})
347,frozenset({88623}),frozenset({135505})
348,frozenset({88623}),frozenset({761495})
349,frozenset({761495}),frozenset({88623})
350,frozenset({3336149}),frozenset({88623})
351,frozenset({88623}),frozenset({3336149})
352,frozenset({15021876}),frozenset({88623})
353,frozenset({88623}),frozenset({15021876})
354,frozenset({88675}),frozenset({88676})
355,frozenset({88676}),frozenset({88675})
356,frozenset({88675}),frozenset({135493})
357,frozenset({135493}),frozenset({88675})
358,frozenset({88675}),frozenset({135495})
359,frozenset({135495}),frozenset({88675})
360,frozenset({135505}),frozenset({88675})
361,frozenset({88675}),frozenset({135505})
362,frozenset({88675}),frozenset({761495})
363,frozenset({761495}),frozenset({88675})
364,frozenset({88675}),frozenset({3336149})
365,frozenset({3336149}),frozenset({88675})
366,frozenset({88676}),frozenset({135492})
367,frozenset({135492}),frozenset({88676})
368,frozenset({88676}),frozenset({135493})
369,frozenset({135493}),frozenset({88676})
370,frozenset({88676}),frozenset({135494})
371,frozenset({135494}),frozenset({88676})
372,frozenset({88676}),frozenset({135495})
373,frozenset({135495}),frozenset({88676})
374,frozenset({135505}),frozenset({88676})
375,frozenset({88676}),frozenset({135505})
376,frozenset({135507}),frozenset({88676})
377,frozenset({88676}),frozenset({135507})
378,frozenset({88676}),frozenset({135789})
379,frozenset({135789}),frozenset({88676})
380,frozenset({88676}),frozenset({3336149})
381,frozenset({3336149}),frozenset({88676})
382,frozenset({88676}),frozenset({15021876})
383,frozenset({15021876}),frozenset({88676})
384,frozenset({135492}),frozenset({135493})
385,frozenset({135493}),frozenset({135492})
386,frozenset({135492}),frozenset({135494})
387,frozenset({135494}),frozenset({135492})
388,frozenset({135492}),frozenset({135495})
